"Human Gene" "Gene"
"73" "ZNF561" "Zfy1"
"74" "ZNF562" "Zfy1"
"75" "ZNF419" "Zfy1"
"76" "ZNF772" "Zfy1"
"77" "ZNF154" "Zfy1"
"78" "ZNF256" "Zfy1"
"79" "ZNF134" "Zfy1"
"80" "ZNF587B" "Zfy1"
"81" "ZNF552" "Zfy1"
"82" "ZNF480" "Zfy1"
"83" "ZNF610" "Zfy1"
"84" "ZNF793" "Zfy1"
"85" "ZNF837" "Zfy1"
"86" "ZNF549" "Zfy1"
"87" "ZNF584" "Zfy1"
"88" "ZNF548" "Zfy1"
"89" "ZNF792" "Zfy1"
"90" "ZNF418" "Zfy1"
"91" "ZNF773" "Zfy1"
"92" "ZNF586" "Zfy1"
"93" "ZNF304" "Zfy1"
"94" NA "Uba1y"
"95" "KDM5D" "Kdm5d"
"96" NA "Eif2s3y"
"97" "UTY" "Uty"
"98" "DDX3Y" "Ddx3y"
"99" "USP9Y" "Usp9y"
"100" "ZNF561" "Zfy2"
"101" "ZNF562" "Zfy2"
"102" "ZNF419" "Zfy2"
"103" "ZNF772" "Zfy2"
"104" "ZNF154" "Zfy2"
"105" "ZNF256" "Zfy2"
"106" "ZNF134" "Zfy2"
"107" "ZNF587B" "Zfy2"
"108" "ZNF552" "Zfy2"
"109" "ZNF480" "Zfy2"
"110" "ZNF610" "Zfy2"
"111" "ZNF793" "Zfy2"
"112" "ZNF837" "Zfy2"
"113" "ZNF549" "Zfy2"
"114" "ZNF584" "Zfy2"
"115" "ZNF548" "Zfy2"
"116" "ZNF792" "Zfy2"
"117" "ZNF418" "Zfy2"
"118" "ZNF773" "Zfy2"
"119" "ZNF586" "Zfy2"
"120" "ZNF304" "Zfy2"
"121" "SRY" "Sry"
"122" "RBMY1D" "Rbmy"
"123" "RBMY1F" "Rbmy"
"124" "RBMY1A1" "Rbmy"
"125" "RBMY1B" "Rbmy"
"126" "RBMY1J" "Rbmy"
"127" "RBMY1E" "Rbmy"
"128" NA "Gm21679"
"129" NA "Gm21679"
"130" NA "Rbm31y"
"131" NA "Gm20772"
"132" NA "Gm20831"
"133" NA "Ssty1"
"134" NA "Gm21904"
"135" NA "Srsy"
"136" NA "Gm21764"
"137" NA "Gm20877"
"138" NA "Gm20807"
"139" NA "Gm21440"
"140" NA "Gm21454"
"141" "SYCP3" "Sly"
"142" NA "Gm21943"
"143" "SYCP3" "Gm28961"
"144" NA "Gm21118"
"145" NA "Gm29644"
"146" "SYCP3" "Gm29554"
"147" NA "Gm20812"
"148" "SYCP3" "Gm21258"
"149" "SYCP3" "Gm20931"
"150" NA "Gm20917"
"151" "SYCP3" "Gm20916"
"152" "SYCP3" "Gm20855"
"153" "SYCP3" "Gm20896"
"154" "SYCP3" "Gm20869"
"155" NA "Gm21394"
"156" "SYCP3" "Gm21409"
"157" "SYCP3" "Gm20920"
"158" "SYCP3" "Gm20894"
"159" "SYCP3" "Gm21317"
"160" "SYCP3" "Gm20835"
"161" "SYCP3" "Gm20911"
"162" "SYCP3" "Gm21117"
"163" "SYCP3" "Gm20888"
"164" "SYCP3" "Gm21650"
"165" "SYCP3" "Gm21518"
"166" "SYCP3" "Gm21209"
"167" "SYCP3" "Gm20843"
"168" "SYCP3" "Gm21294"
"169" "SYCP3" "Gm21095"
"170" "CHST9" "Chst9"
"171" "SYCP3" "Gm21488"
"172" NA "Gm10036"
"173" "SYCP3" "Gm20890"
"174" "CDH2" "Cdh2"
"175" "SYCP3" "Gm21173"
"176" "SYCP3" "Gm21497"
"177" "SYCP3" "Gm28553"
"178" "SYCP3" "Gm21760"
"179" "SYCP3" "Gm21858"
"180" "CEP120" "Cep120"
"181" "SYCP3" "Gm20792"
"182" "SYCP3" "Gm21865"
"183" "SYCP3" "Gm35134"
"184" "SYCP3" "Gm30737"
"185" "SYCP3" "Gm21996"
"186" "SYCP3" "Gm28102"
"187" "CSNK1G3" "Csnk1g3"
"188" "SYCP3" "Gm28490"
"189" "SYCP3" "Gm29582"
"190" "SYCP3" "Gm28870"
"191" "DSC3" "Dsc3"
"192" "SYCP3" "Gm21739"
"193" "SYCP3" "Gm21256"
"194" "SYCP3" "Gm20838"
"195" "SYCP3" "Gm28891"
"196" "ZNF608" "Zfp608"
"197" "SYCP3" "Gm20837"
"198" "SYCP3" "Gm21861"
"199" "SYCP3" "Gm28897"
"200" "SYCP3" "Gm29564"
"201" "SYCP3" "Gm28827"
"202" "SYCP3" "Gm29110"
"203" "SYCP3" "Gm31571"
"204" "SYCP3" "Gm29866"
"205" NA "Gm20777"
"206" "SYCP3" "Gm28510"
"207" "DSC2" "Dsc2"
"208" NA "Gm20737"
"209" NA "Gm21775"
"210" NA "Gm21900"
"211" "SYCP3" "Gm28919"
"212" NA "Gm21719"
"213" NA "Gm28171"
"214" NA "Gm21778"
"215" NA "Gm21854"
"216" NA "Gm20914"
"217" NA "Gm21812"
"218" NA "Gm21874"
"219" NA "Gm20821"
"220" NA "Gm9847"
"221" NA "Gm21244"
"222" NA "Gm21292"
"223" NA "Gm21721"
"224" NA "Gm21425"
"225" NA "Gm20773"
"226" "DSC1" "Dsc1"
"227" "TRIB2" "Trib2"
"228" NA "Gm33815"
"229" "VRTN" "Vrtn"
"230" "DSG1" "Dsg1c"
"231" NA "Gm21921"
"232" NA "Gm21773"
"233" "KLF9" "Klf9"
"234" "DSG1" "Dsg1a"
"235" "HABP2" "Habp2"
"236" NA "Gm21776"
"237" "SYNDIG1L" "Syndig1l"
"238" "DSG1" "Dsg1b"
"239" "NUBPL" "Nubpl"
"240" NA "Gm20795"
"241" "ALDH7A1" "Aldh7a1"
"242" "NPC2" "Npc2"
"243" "ISCA2" "Isca2"
"244" "SMC5" "Smc5"
"245" "ARHGAP5" "Arhgap5"
"246" NA "Gm21822"
"247" NA "Gm21891"
"248" NA "Gm21828"
"249" NA "Gm21725"
"250" "AKAP6" "Akap6"
"251" NA "Gm21913"
"252" NA "Gm21866"
"253" NA "Gm21767"
"254" "NPAS3" "Npas3"
"255" "DSG4" "Dsg4"
"256" NA "Gm21882"
"257" NA "Gm21797"
"258" NA "Gm21800"
"259" "PHAX" "Phax"
"260" "SYCP3" "Gm21094"
"261" "MAMDC2" "Mamdc2"
"262" "EGLN3" "Egln3"
"263" "LTBP2" "Ltbp2"
"264" "LMNB1" "Lmnb1"
"265" "SYCP3" "Gm21477"
"266" NA "Gm9493"
"267" NA "Gm6563"
"268" "PTAR1" "Ptar1"
"269" "APBA1" "Apba1"
"270" "DSG3" "Dsg3"
"271" NA "Gm28079"
"272" NA "Krtap20-2"
"273" NA "Krtap21-1"
"274" NA "Krtap6-2"
"275" "IFITM2" "Ifitm7"
"276" "IFITM1" "Ifitm7"
"277" "IFITM3" "Ifitm7"
"278" "KRTAP8-1" "Krtap8-1"
"279" "KRTAP7-1" "Krtap7-1"
"280" "KRTAP11-1" "Krtap11-1"
"281" NA "1700029F12Rik"
"282" "CNTNAP3" "Cntnap3"
"283" "CNTNAP3B" "Cntnap3"
"284" "CNTNAP3C" "Cntnap3"
"285" "RABL3" "Rabl3"
"286" "TJP2" "Tjp2"
"287" "C5orf63" "C330018D20Rik"
"288" NA "D030025P21Rik"
"289" NA "Ofcc1"
"290" "DSG2" "Dsg2"
"291" "PPP2R5C" "Ppp2r5c"
"292" "HGD" "Hgd"
"293" "FAM169A" "Fam169a"
"294" "TTR" "Ttr"
"295" NA "Gm10269"
"296" "NDUFB4" "Ndufb4"
"297" "B4GALT6" "B4galt6"
"298" "MARF1" "Marf1"
"299" "FXN" "Fxn"
"300" NA "Gm9979"
"301" "MEGF10" "Megf10"
"302" NA "Nsa2"
"303" "PIP5K1B" "Pip5k1b"
"304" "TFAP2A" "Tfap2a"
"305" "FSTL1" "Fstl1"
"306" "TRAPPC8" "Trappc8"
"307" "AREL1" "Arel1"
"308" "LRRC58" "Lrrc58"
"309" "GPR156" "Gpr156"
"310" "TMEM252" "Tmem252"
"311" "PGM5" "Pgm5"
"312" "GSK3B" "Gsk3b"
"313" "GCNT2" "Gcnt2"
"314" "CYCS" "Gm10053"
"315" "FOXD4L4" "Foxd4"
"316" "FOXD4L5" "Foxd4"
"317" "FOXD4" "Foxd4"
"318" "FOXD4L3" "Foxd4"
"319" "FOXD4L6" "Foxd4"
"320" "FOXD4L1" "Foxd4"
"321" "NRAP" "Nrap"
"322" "RNF125" "Rnf125"
"323" "NDE1" "Nde1"
"324" "RNF138" "Rnf138"
"325" "NME8" "Nme8"
"326" "DYNC1H1" "Dync1h1"
"327" "MEP1B" "Mep1b"
"328" "TIAM1" "Tiam1"
"329" "PAK1IP1" "Pak1ip1"
"330" "FBN2" "Fbn2"
"331" NA "1700001K19Rik"
"332" NA "Fcf1"
"333" "TMEM14C" "Tmem14c"
"334" "HSP90AA1" "Hsp90aa1"
"335" "GPR141" "Gpr141"
"336" "ELMO1" "Elmo1"
"337" "KLHL14" "Klhl14"
"338" "SLC27A6" "Slc27a6"
"339" "SOD1" "Sod1"
"340" "LPIN1" "Lpin1"
"341" "SCAF4" "Scaf4"
"342" "ISOC1" "Isoc1"
"343" "ADAMTS19" "Adamts19"
"344" NA "Gm10323"
"345" "GPR50" "Gpr50"
"346" "AOAH" "Aoah"
"347" "SLC16A2" "Slc16a2"
"348" "CCDC178" "Ccdc178"
"349" "SYCP3" "Gm10488"
"350" "CASP7" "Casp7"
"351" "VMA21" "Vma21"
"352" "MAK" "Mak"
"353" "HUNK" "Hunk"
"354" "DOCK8" "Dock8"
"355" "SYCP3" "Gm14632"
"356" "MIS18A" "Mis18a"
"357" "HTR2C" "Htr2c"
"358" "MRAP" "Mrap"
"359" "CHSY3" "Chsy3"
"360" "URB1" "Urb1"
"361" "RLIM" "Rlim"
"362" NA "Gm4841"
"363" "KANK1" "Kank1"
"364" NA "F830016B08Rik"
"365" NA "Iigp1"
"366" "SMIM3" "Smim3"
"367" "DCTN4" "Dctn4"
"368" "DMRT1" "Dmrt1"
"369" "DMRT3" "Dmrt3"
"370" "GFM2" "Gfm2"
"371" "SYCP3" "Gm10487"
"372" "DMRT2" "Dmrt2"
"373" "MYH11" "Myh11"
"374" "PRRG3" "Prrg3"
"375" "NHLRC2" "Nhlrc2"
"376" "NOL4" "Nol4"
"377" "ADRB1" "Adrb1"
"378" "FATE1" "Fate1"
"379" "CCDC186" "Ccdc186"
"380" "WDR20" "Wdr20"
"381" "IL13RA2" "Il13ra2"
"382" "PSPC1" "Pspc1"
"383" "NTSR2" "Ntsr2"
"384" "YLPM1" "Ylpm1"
"385" "PACS1" "Pacs1"
"386" "CNGA2" "Cnga2"
"387" "DACH1" "Dach1"
"388" "MAGEA10" "Magea4"
"389" "RBM22" "Rbm22"
"390" "ABCB7" "Abcb7"
"391" "DTNA" "Dtna"
"392" NA "Gm21789"
"393" "UPRT" "Uprt"
"394" "GABRE" "Gabre"
"395" "SF3B2" "Sf3b2"
"396" "ZMYM5" "Zmym5"
"397" "MOK" "Mok"
"398" "SMUG1" "Smug1"
"399" NA "Spin2-ps6"
"400" "MAGEA10" "Magea10"
"401" "CCDC134" "Ccdc134"
"402" "PROX2" "Prox2"
"403" "ZDHHC15" "Zdhhc15"
"404" "WDHD1" "Wdhd1"
"405" "ZNF839" "Zfp839"
"406" "MAGEE2" "Magee2"
"407" "MROH2B" "Mroh2b"
"408" "GAL3ST3" "Gal3st3"
"409" "SRP54" "Srp54b"
"410" NA "Spin2g"
"411" "EVA1C" "Eva1c"
"412" "CATSPER1" "Catsper1"
"413" "GABRA3" "Gabra3"
"414" "HEXB" "Hexb"
"415" "CST6" "Cst6"
"416" "TDRD1" "Tdrd1"
"417" "ENC1" "Enc1"
"418" "SYCP3" "Gm10486"
"419" "CBX5" "Cbx5"
"420" "ZNF682" "Zfp457"
"421" "ZNF727" "Zfp457"
"422" "ZNF681" "Zfp457"
"423" "ZNF678" "Zfp457"
"424" "ZNF85" "Zfp457"
"425" "ZNF736" "Zfp457"
"426" "ZNF724" "Zfp457"
"427" "ZNF738" "Zfp457"
"428" "ZNF695" "Zfp457"
"429" "ZNF682" "Zfp595"
"430" "ZNF727" "Zfp595"
"431" "ZNF681" "Zfp595"
"432" "ZNF678" "Zfp595"
"433" "ZNF85" "Zfp595"
"434" "ZNF736" "Zfp595"
"435" "ZNF724" "Zfp595"
"436" "ZNF738" "Zfp595"
"437" "ZNF695" "Zfp595"
"438" "CINP" "Cinp"
"439" "MAPRE2" "Mapre2"
"440" "C7" "C7"
"441" NA "Gm28044"
"442" "HIVEP1" "Hivep1"
"443" "CARD6" "Card6"
"444" "SOCS4" "Socs4"
"445" "SYCP3" "Gm14819"
"446" NA "Rpl37"
"447" "IGSF11" "Igsf11"
"448" "ZMYM2" "Zmym2"
"449" "EDN1" "Edn1"
"450" NA "Gm10250"
"451" "PRKAA1" "Prkaa1"
"452" "LRCH2" "Lrch2"
"453" "DLST" "Dlst"
"454" "LSAMP" "Lsamp"
"455" "SREBF2" "Srebf2"
"456" "ZNF397" "Zfp397"
"457" NA "Zfp35"
"458" "MAPK1IP1L" "Mapk1ip1l"
"459" "ZNF24" "Zfp24"
"460" "ARHGEF28" "Arhgef28"
"461" "INO80C" "Ino80c"
"462" "GAP43" "Gap43"
"463" "LGALS3" "Lgals3"
"464" "GALNT1" "Galnt1"
"465" "MTBP" "Mtbp"
"466" "PBDC1" "Pbdc1"
"467" "GREB1" "Greb1"
"468" "PIBF1" "Pibf1"
"469" "SYNJ1" "Synj1"
"470" "BANF1" "Banf1"
"471" "C18orf21" "2700062C07Rik"
"472" "MAGEE1" "Magee1"
"473" "EIF1AD" "Eif1ad"
"474" NA "Gm15128"
"475" "VWA2" "Vwa2"
"476" "RPRD1A" "Rprd1a"
"477" NA "Gm15080"
"478" "CDX1" "Cdx1"
"479" "FGF16" "Fgf16"
"480" "HMGXB3" "Hmgxb3"
"481" NA "Gm15107"
"482" "ZMIZ1" "Zmiz1"
"483" "SART1" "Sart1"
"484" "DOCK11" "Dock11"
"485" "SHISA8" "Shisa8"
"486" "SNTB1" "Sntb1"
"487" "PPP2R3C" "Ppp2r3c"
"488" NA "Zfp184"
"489" "SLC26A2" "Slc26a2"
"490" "TTC33" "Ttc33"
"491" "UBE2V2" "Ube2v2"
"492" "TSGA10IP" "Tsga10ip"
"493" "RPS6KL1" "Rps6kl1"
"494" "PDE6A" "Pde6a"
"495" "POM121L2" "Pom121l2"
"496" "PRSS16" "Prss16"
"497" "DRAP1" "Drap1"
"498" "KLF5" "Klf5"
"499" "TNFRSF13C" "Tnfrsf13c"
"500" "MCM4" "Mcm4"
"501" "E2F6" "E2f6"
"502" "TPGS2" "Tpgs2"
"503" "KLF12" "Klf12"
"504" "HAS2" "Has2"
"505" "HNRNPA1L3" "Hnrnpa1"
"506" "HNRNPA1L2" "Hnrnpa1"
"507" NA "Vmn1r188"
"508" "PGF" "Pgf"
"509" NA "Vmn1r189"
"510" "PPARGC1B" "Ppargc1b"
"511" "C11orf68" "AI837181"
"512" NA "Vmn1r191"
"513" NA "Vmn1r192"
"514" "FOSL1" "Fosl1"
"515" "PRR30" "Prr30"
"516" NA "Vmn1r193"
"517" "PAXBP1" "Paxbp1"
"518" NA "Vmn1r194"
"519" "TECPR2" "Tecpr2"
"520" NA "Vmn1r195"
"521" "CCDC85B" "Ccdc85b"
"522" "DLGAP5" "Dlgap5"
"523" NA "Vmn1r196"
"524" "AFAP1L2" "Afap1l2"
"525" NA "Ott"
"526" "PHACTR1" "Phactr1"
"527" "CELF4" "Celf4"
"528" "PTGER4" "Ptger4"
"529" NA "Gm15093"
"530" "EIF2B2" "Eif2b2"
"531" NA "Gm15085"
"532" "C21orf62" "4932438H23Rik"
"533" NA "Slc22a22"
"534" "ZBTB20" "Zbtb20"
"535" NA "Gm10439"
"536" "FAM9C" "Xlr5a"
"537" "FAM9B" "Xlr5a"
"538" "FAM9A" "Xlr5a"
"539" "NFE2" "Nfe2"
"540" "CENPM" "Cenpm"
"541" NA "Vmn1r197"
"542" NA "Gm15097"
"543" NA "Vmn1r198"
"544" "FIBP" "Fibp"
"545" "MLH3" "Mlh3"
"546" NA "Vmn1r199"
"547" "TBC1D4" "Tbc1d4"
"548" NA "Vmn1r200"
"549" NA "Gm15091"
"550" "ZHX2" "Zhx2"
"551" NA "Vmn1r201"
"552" "AGRP" "Agrp"
"553" NA "Vmn1r202"
"554" "DERL1" "Derl1"
"555" NA "Vmn1r203"
"556" NA "Vmn1r204"
"557" "ATRX" "Atrx"
"558" NA "Vmn1r205"
"559" "CTSW" "Ctsw"
"560" NA "Vmn1r206"
"561" "COPZ1" "Copz1"
"562" "PIK3C3" "Pik3c3"
"563" NA "Vmn1r208"
"564" NA "Acyp1"
"565" NA "Vmn1r209"
"566" NA "Vmn1r210"
"567" "TBC1D7" "Tbc1d7"
"568" "ROCK2" "Rock2"
"569" "EFEMP2" "Efemp2"
"570" NA "Gpr84"
"571" "ZNF385A" "Zfp385a"
"572" "TIGIT" "Tigit"
"573" "PRKDC" "Prkdc"
"574" "CTCF" "Ctcf"
"575" "TBC1D31" "Tbc1d31"
"576" "NR3C2" "Nr3c2"
"577" NA "Vmn1r211"
"578" "DYNLL1" "BC048507"
"579" NA "Vmn1r212"
"580" "GFOD1" "Gfod1"
"581" "FBXO34" "Fbxo34"
"582" NA "Vmn1r213"
"583" NA "Vmn1r214"
"584" NA "Vmn1r215"
"585" NA "Vmn1r216"
"586" NA "Vmn1r216"
"587" NA "Vmn1r217"
"588" NA "Vmn1r218"
"589" NA "Vmn1r219"
"590" "ITGA5" "Itga5"
"591" NA "Vmn1r220"
"592" "MICU2" "Micu2"
"593" "ZC2HC1C" "Zc2hc1c"
"594" "MUS81" "Mus81"
"595" "RIT2" "Rit2"
"596" "SIRT5" "Sirt5"
"597" "NEK9" "Nek9"
"598" "IL17B" "Il17b"
"599" "PCM1" "Pcm1"
"600" "FAM156B" "Tmem29"
"601" "FAM156A" "Tmem29"
"602" "PCYOX1L" "Pcyox1l"
"603" "FGF9" "Fgf9"
"604" "GRPEL2" "Grpel2"
"605" "TMED10" "Tmed10"
"606" "ATG14" "Atg14"
"607" "AFAP1L1" "Afap1l1"
"608" "DRD3" "Drd3"
"609" NA "Vmn1r222"
"610" NA "Vmn1r223"
"611" "MAGT1" "Magt1"
"612" "MTRR" "Mtrr"
"613" "PHF11" "Phf11a"
"614" "MZT2A" "Mzt2"
"615" "MZT2B" "Mzt2"
"616" "SNX32" "Snx32"
"617" "PHF11" "Phf11b"
"618" "CEBPD" "Cebpd"
"619" "ABLIM3" "Ablim3"
"620" "FOS" "Fos"
"621" "PHF11" "Phf11d"
"622" "JDP2" "Jdp2"
"623" "OVOL1" "Ovol1"
"624" "NOL7" "Nol7"
"625" "AP5B1" "Ap5b1"
"626" "SPIDR" "Spidr"
"627" "BATF" "Batf"
"628" "RNASEH2C" "Rnaseh2c"
"629" "ACD" "Acd"
"630" "SH3TC2" "Sh3tc2"
"631" "WBP2NL" "Wbp2nl"
"632" "FASTKD3" "Fastkd3"
"633" "PHF11" "Phf11c"
"634" "COX7B" "Cox7b"
"635" "NAGA" "Naga"
"636" "APEX2" "Apex2"
"637" "SMARCA2" "Smarca2"
"638" "NOL10" "Nol10"
"639" "SETDB2" "Setdb2"
"640" "ZNF322" "Zfp322a"
"641" "PKP2" "Pkp2"
"642" "ASAH1" "Asah1"
"643" "ADRB2" "Adrb2"
"644" "WDR33" "Wdr33"
"645" "ODC1" "Odc1"
"646" "CCDC191" "Ccdc191"
"647" "SMDT1" "Smdt1"
"648" "ABT1" "Abt1"
"649" "BTN1A1" "Btn1a1"
"650" "ALAS2" "Alas2"
"651" "GTSF1" "Gtsf1"
"652" "HPCAL1" "Hpcal1"
"653" "PARD6A" "Pard6a"
"654" "CAB39L" "Cab39l"
"655" "YARS2" "Yars2"
"656" "ADCY2" "Adcy2"
"657" NA "B430203G13Rik"
"658" "SFT2D3" "Sft2d3"
"659" "HTR4" "Htr4"
"660" "ZDHHC23" "Zdhhc23"
"661" "FRG1" "Frg1"
"662" NA "Frg1"
"663" NA "5730507C01Rik"
"664" "IFNAR1" "Ifnar1"
"665" "ATP7A" "Atp7a"
"666" "RANBP9" "Ranbp9"
"667" "ENKD1" "Enkd1"
"668" "CDADC1" "Cdadc1"
"669" "LIMS2" "Lims2"
"670" "C16orf86" "4933405L10Rik"
"671" "ARHGAP10" "Arhgap10"
"672" "NDUFA6" "Ndufa6"
"673" NA "Gm5784"
"674" "GPR17" "Gpr17"
"675" NA "Gm9257"
"676" "MYO7B" "Myo7b"
"677" "IFNGR2" "Ifngr2"
"678" "SHISA2" "Shisa2"
"679" "MRPL47" "Mrpl47"
"680" NA "Gm21863"
"681" "CYP2D6" "Cyp2d22"
"682" "ATP8A2" "Atp8a2"
"683" NA "Tlr13"
"684" "MCUR1" "Mcur1"
"685" "PGK1" "Pgk1"
"686" "BAG5" "Bag5"
"687" "TMEM50B" "Tmem50b"
"688" "ADGRL4" "Adgrl4"
"689" "RNF182" "Rnf182"
"690" "CYP2D6" "Cyp2d11"
"691" "CD83" "Cd83"
"692" "TAF9B" "Taf9b"
"693" "GRAMD1C" "Gramd1c"
"694" "NCKAP1L" "Nckap1l"
"695" "BTN2A2" "Btn2a2"
"696" "MBIP" "Mbip"
"697" "IWS1" "Iws1"
"698" "NDUFB5" "Ndufb5"
"699" "PFKFB1" "Pfkfb1"
"700" NA "4930563I02Rik"
"701" "NKX2-1" "Nkx2-1"
"702" "TRIML1" "Triml1"
"703" "NKX2-8" "Nkx2-9"
"704" "PAX9" "Pax9"
"705" "SLC30A7" "Slc30a7"
"706" "GFOD2" "Gfod2"
"707" "DNAJC28" "Dnajc28"
"708" "HFE" "Hfe"
"709" NA "Proc"
"710" "TRIML2" "Triml2"
"711" NA "Ttll5"
"712" "FER1L6" "Fer1l6"
"713" "ATP6V1A" "Atp6v1a"
"714" "IFI44" "Ifi44"
"715" "CYP2D6" "Cyp2d10"
"716" "PRMT9" "Prmt9"
"717" "MAP3K2" "Map3k2"
"718" NA "Rpl39"
"719" "IFI44L" "Ifi44l"
"720" "PTGFR" "Ptgfr"
"721" "TNPO1" "Tnpo1"
"722" NA "Fnd3c2"
"723" "USP13" "Usp13"
"724" "TMEM65" "Tmem65"
"725" "ZFP42" "Zfp42"
"726" "ERCC3" "Ercc3"
"727" "DENND6A" "Dennd6a"
"728" NA "Adam26b"
"729" "RANBP10" "Ranbp10"
"730" NA "Ube2d4"
"731" "TRMT12" "Trmt12"
"732" "RNF139" "Rnf139"
"733" "UPF3B" "Upf3b"
"734" "DAB2" "Dab2"
"735" "DNM1L" "Dnm1l"
"736" "SRBD1" "Srbd1"
"737" "GYPC" "Gypc"
"738" "TSLP" "Tslp"
"739" NA "Adam26a"
"740" "EXTL2" "Extl2"
"741" NA "Adam34"
"742" "WDR36" "Wdr36"
"743" "TMEM184C" "Tmem184c"
"744" "NKAP" "Nkap"
"745" "C12orf75" "1500009L16Rik"
"746" "AKAP14" "Akap14"
"747" "ARHGAP18" "Arhgap18"
"748" "ZNF34" "Zfp942"
"749" "NDUFA1" "Ndufa1"
"750" "TSNAXIP1" "Tsnaxip1"
"751" "ZNF34" "Zfp943"
"752" "RNF113A" "Rnf113a1"
"753" "GIPC2" "Gipc2"
"754" NA "Gm9"
"755" NA "Gm9772"
"756" "TRIM38" "Trim38"
"757" "ZNF34" "Zfp947"
"758" NA "Rhox1"
"759" NA "Rhox2a"
"760" "ZNF34" "Zfp994"
"761" "ZNF366" "Zfp366"
"762" "YEATS4" "Yeats4"
"763" "EDNRA" "Ednra"
"764" "PTCD2" "Ptcd2"
"765" NA "Fndc3c1"
"766" "ZNF34" "Zfp944"
"767" "CAMK4" "Camk4"
"768" NA "Zfp758"
"769" "DNAJB4" "Dnajb4"
"770" "CENPT" "Cenpt"
"771" "SLC17A2" "Slc17a2"
"772" "ZNF34" "Zfp946"
"773" NA "Gm10936"
"774" NA "Lyz2"
"775" "STARD4" "Stard4"
"776" "TMEM247" "Tmem247"
"777" NA "Lyz1"
"778" "ATP6V1E2" "Atp6v1e2"
"779" "LAMA2" "Lama2"
"780" "VCAM1" "Vcam1"
"781" "MTMR6" "Mtmr6"
"782" "RHOQ" "Rhoq"
"783" "NREP" "Nrep"
"784" "THAP11" "Thap11"
"785" "TTC29" "Ttc29"
"786" "MRPS27" "Mrps27"
"787" NA "Vmn2r111"
"788" "CYSLTR1" "Cysltr1"
"789" NA "Gm10549"
"790" NA "Rhox3a"
"791" "EPB41L4A" "Epb41l4a"
"792" "AMER2" "Amer2"
"793" NA "Rhox4a"
"794" "PIGF" "Pigf"
"795" "SPATA13" "Spata13"
"796" NA "Gm5127"
"797" "POU4F2" "Pou4f2"
"798" "MAP1B" "Map1b"
"799" "CRIPT" "Cript"
"800" "RBMXL1" "Rbmxl1"
"801" "GPR88" "Gpr88"
"802" NA "Rhox3a2"
"803" "CDC14A" "Cdc14a"
"804" "ARHGEF7" "Arhgef7"
"805" "NAA50" "Naa50"
"806" NA "Vmn2r112"
"807" NA "Rhox4a2"
"808" "CARTPT" "Cartpt"
"809" NA "Rhox2b"
"810" NA "Gm9805"
"811" "LPAR4" "Lpar4"
"812" "SOCS5" "Socs5"
"813" "JARID2" "Jarid2"
"814" NA "Gm5493"
"815" NA "Rhox4b"
"816" "PIEZO2" "Piezo2"
"817" "USF3" "Usf3"
